,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
BACRP,,,,,,,,,,,,,,,,,27.571014404296875,30.121408462524414,32.1878776550293,35.16534423828125,38.418243408203125,4.197204113006592,148.3262176513672,275.92840576171875,231.40475463867188,209.98341369628906
BIPH,,,,,,,,,,,,,,,,,,,,,,,19.146223068237305,12.637117385864258,14.835362434387207,16.062795639038086
BIPI,,,,,,,,,,,,,,,,,,,,,,,,15.612363815307617,16.248422622680664,16.586673736572266
BIP-PA,,,,,,,,,,,,,,,,,,,,,,19.034748077392578,19.36016273498535,13.192107200622559,14.629066467285156,16.61284065246582
BIP-PB,,,,,,,,,,,,,,,,,,,,,,,19.30202865600586,12.605095863342285,14.03454875946045,16.657405853271484
BIPJ,,,,,,,,,,,,,,,,,,,,,,,,,,22.55459213256836
TLPPF,,,,,,,,,,,,,,,,,,,,,1.0199999809265137,3.0,5.659999847412109,4.71999979019165,6.875,14.975000381469727
OXLCP,,,,,,,,,,,,,,,,,,,,,,16.821361541748047,19.66312026977539,18.890155792236328,20.424009323120117,22.905872344970703
OXLCZ,,,,,,,,,,,,,,,,,,,,,,,,19.10003089904785,20.774232864379883,22.752906799316406
OXLCL,,,,,,,,,,,,,,,,,,,,,,,20.06304168701172,18.54178810119629,20.582069396972656,22.036863327026367
OXLCN,,,,,,,,,,,,,,,,,,,,,,,,18.44283676147461,20.384307861328125,22.83785629272461
MLCMF,,,,,,,,,,,,,35.9635009765625,36.76940155029297,34.32693099975586,27.287702560424805,28.729785919189453,35.15891647338867,56.65694808959961,56.57941436767578,43.97967529296875,38.06842803955078,25.83924102783203,11.912060737609863,,17.450000762939453
TDS-PU,,,,,,,,,,,,,,,,,,,,,,,19.77117347717285,11.501538276672363,15.181522369384766,18.181888580322266
TDS-PV,,,,,,,,,,,,,,,,,,,,,,,18.911808013916016,10.196355819702148,13.31839370727539,16.505319595336914
BYNOU,,,,,,,,,,,,,,,,,,,,,,,,10.09000015258789,10.9399995803833,11.319999694824219
OXLCI,,,,,,,,,,,,,,,,,,,,,,,,,,24.001407623291016
YOTAU,,,,,,,,,,,,,,,,,,,,,,,,9.960000038146973,10.800000190734863,11.34000015258789
USB-PQ,,,,,,,,,,,,,,,,,,,,,,19.91572380065918,19.789236068725586,13.460179328918457,15.2349853515625,16.001506805419922
USB-PR,,,,,,,,,,,,,,,,,,,,,,,20.732982635498047,14.085809707641602,16.097829818725586,16.878177642822266
USB-PS,,,,,,,,,,,,,,,,,,,,,,,,15.918490409851074,17.960466384887695,19.30531883239746
WELUF,,,,,,,,,,,,,,,,,,,,,,,10.119999885559082,10.270000457763672,11.050000190734863,11.8100004196167
GRBK-PA,,,,,,,,,,,,,,,,,,,,,,,20.238784790039062,16.194427490234375,16.155702590942383,22.00934410095215
XFLT-PA,,,,,,,,,,,,,,,,,,,,,,,20.309865951538086,21.052934646606445,21.7441463470459,24.101993560791016
CIVII,,,,,,,,,,,,,,,,,,,,,,,,,1.0299999713897705,0.17000000178813934
CCIA,,,,,,,,,,,,,,,,,,,,,,,,,22.10011863708496,24.10386848449707
NYMTZ,,,,,,,,,,,,,,,,,,,,,,,17.66678237915039,12.023210525512695,15.277020454406738,17.723876953125
NYMTL,,,,,,,,,,,,,,,,,,,,,,,18.013336181640625,13.411808013916016,16.94308853149414,21.32842254638672
NYMTM,,,,,,,,,,,,,,,,,,,,,15.24374008178711,14.74716567993164,18.401517868041992,14.529036521911621,20.284360885620117,23.37877655029297
NYMTI,,,,,,,,,,,,,,,,,,,,,,,,,,23.421146392822266
